Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Adjusted net enrollment rate, primary (% of primary school age children)",-1.0,-1.0,71.03313,-1.0,80.79316,83.54524,82.77562,86.05956,-1.0,90.71364,92.28014,93.91345,95.05148,95.04337,97.99573,-1.0,-1.0,-1.0,89.9423,88.09642,87.80667,87.19765,88.19802,89.21348,-1.0,-1.0,-1.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",-1.0,-1.0,67.43367,-1.0,77.56589,80.81671,80.22159,83.97844,-1.0,89.0495,90.89891,92.74704,94.19514,94.39974,97.82515,-1.0,-1.0,-1.0,90.22777,88.35907,88.0288,87.39891,88.43096,89.52512,-1.0,-1.0,-1.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",-1.0,-1.0,74.53366,-1.0,83.93421,86.1993,85.26023,88.08325,-1.0,92.32809,93.6177,95.04112,95.87797,95.66356,98.15969,-1.0,-1.0,-1.0,89.66847,87.84461,87.5938,87.00479,87.97486,88.91499,-1.0,-1.0,-1.0
Adjusted net national income (annual % growth),5.59679800153086,1.38203355158166,5.58913684698403,6.48085641138385,2.56685826501032,1.64664277527287,-1.09687563326415,1.99794019385058,1.14352111137359,1.41998807432596,1.71269856073619,3.9580252526934,5.25070605226077,2.79844297876346,2.5100812641879,2.15476331612791,4.69864479292823,4.29207947334919,3.06301872481787,4.30091013426444,6.88021217470305,2.63563863141265,2.82228393059773,3.93139768655901,5.86186188248521,-4.07761024421157,3.72236667291877
Adjusted net national income (constant 2015 US$),28972785449.0784,29373199064.8124,31014907356.8818,33024938968.805,33872642344.2404,34430403762.1959,34052745052.8939,34733098533.4151,35130278847.7789,35629124617.8948,36239344122.4284,37673706514.2046,39651842102.2569,40761476293.5179,41784622472.9679,42684982189.7979,44690597882.8212,46608753861.0668,48036388719.2355,50102390629.7958,53549541409.7243,54960913810.0633,56512066848.6344,58733780937.3483,62176674054.2571,59641351623.5107,61861421419.6225
Adjusted net national income (current US$),13447341840.8305,14283752609.3571,16160786441.4662,17670938541.7341,16567318351.7154,17342103628.0675,16638030264.0303,18169887442.7752,19079878117.7267,20689608522.3765,23343758021.6542,25668631832.2015,28715110479.5363,33121429153.6255,31757882115.5472,34479158283.3186,39537192491.5204,42449809892.1181,45195787000.4436,49174586532.4727,53549541409.7243,56360882846.2341,60997082859.6987,62858914183.6065,66530789792.2866,67054226185.5679,73724408675.9154
Adjusted net national income per capita (annual % growth),3.03803180798377,-1.0248624895211,3.1284091863745,3.99526218130191,0.16512734416925,-0.797513868556237,-3.4446112569198,-0.319128823072361,-1.03828513322389,-0.713428223543502,-0.37825621180761,1.87279563253533,3.19140443330441,0.836029814790834,0.599824502594302,0.295756549973419,2.81089156822385,2.45467046572314,1.26784693062108,2.51329649424341,5.08757435597079,0.947895170286188,1.16223965495783,2.28133308708398,4.22282903555389,-5.52459406945842,2.19825571461823
Adjusted net national income per capita (constant 2015 US$),2816.50512114069,2787.63981663868,2874.84859674544,2989.7063355009,2994.64315817117,2970.76046367098,2868.42931432325,2859.27532961179,2829.58789894649,2809.40082026543,2798.77408714821,2851.18940601685,2942.18239112238,2966.77991311768,2984.57538597461,2993.40246316752,3077.54376060771,3153.08731836905,3193.06363915479,3273.31479565663,3439.84711979065,3472.45326450438,3512.81149334433,3592.95042422888,3744.67457797627,3537.79650832088,3615.56632223661
Adjusted net national income per capita (current US$),1307.24424915912,1355.58804531306,1497.98333069155,1599.72791962986,1464.69844445555,1496.32970240435,1401.50268848549,1495.76954261564,1536.79942220859,1631.40138235509,1802.84457762106,1942.63155708678,2130.67257239019,2410.70735512965,2268.38936582626,2417.94636048594,2722.66306177561,2871.73430203678,3004.24382352275,3212.69902780478,3439.84711979065,3560.90388718974,3791.60178840997,3845.29922607009,4006.90710748626,3977.51225969779,4308.91309993237
"Adjusted net savings, excluding particulate emission damage (% of GNI)",4.86648887172751,3.27019146507756,3.27886115183906,4.9285116953689,4.30341558290772,4.47148288630279,1.82746669016355,5.35438350110033,5.59989535186877,6.71939600903119,4.44702649387759,4.83977730815347,4.51694276929956,1.35359422101923,2.29647050581089,0.98092395074492,0.384770705033258,1.36632902124626,1.22187639257021,1.5088310941665,4.17875542285615,4.3190675277089,4.0458409008681,4.4484320108024,6.80315333520744,8.69046750525487,9.2052074983424
"Adjusted net savings, excluding particulate emission damage (current US$)",705461041.722163,505078966.171346,575483617.058965,946855415.110495,779516922.208088,853124377.364404,334806026.983659,1077614333.80079,1190453229.06338,1556694986.29493,1169503204.3783,1406631333.73539,1478177124.34879,512604242.555666,835838275.121537,388865088.818039,175350828.432233,663611799.53703,632449800.308204,850004421.609008,2536495494.47276,2791345002.67649,2838279820.50649,3195122881.04686,5154502025.51064,6623717848.49243,7739408352.27849
"Adjusted net savings, including particulate emission damage (% of GNI)",2.66515299233556,1.1158488679439,1.17524837013905,2.90372775861523,2.35606556291414,2.56728411157829,0.0136168783074828,3.66736152959184,4.02370099014483,5.23722024914575,3.09030270551881,3.58357455095126,3.38155255371572,0.297256864689038,1.25791987950104,-0.0347555232208918,-0.576205712899014,0.450395708907237,0.405408235332281,0.744292529533598,3.44773067288918,3.62493266066192,3.37022622835101,3.8041812903228,6.17942416775186,8.05259355048381,8.60397497485187
"Adjusted net savings, including particulate emission damage (current US$)",386348691.198089,172342139.181507,206271675.337923,557858136.937159,426775648.491367,489817967.528601,2494717.38696384,738087092.698091,855378098.254091,1213316567.8894,812704606.455325,1041528964.90769,1106618765.16557,112570759.834998,457840664.473059,-13778040.1976585,-262593143.871217,218752512.933573,209841485.634948,419299379.181735,2092765053.94558,2342736621.38015,2364315683.40167,2732384501.96483,4681925104.39648,6137541805.97794,7233913607.61337
Adjusted savings: carbon dioxide damage (% of GNI),0.669642026854396,0.637931449244395,0.617859053670101,0.738701275336254,0.803571639275728,0.916443714257516,1.03915433951345,1.04840089148908,1.04182271701276,1.02373755432669,1.02005577289276,0.972042280788067,0.976611647109192,0.796560072503866,0.899168289421422,0.824703638241034,0.768408279318763,0.77724759967005,0.811873351823481,0.83377049447054,0.936062427721133,0.971852783223658,0.883783995740486,0.999298835757627,1.03930145335023,1.08115270580557,1.16287015321642
Adjusted savings: carbon dioxide damage (current US$),97073346.7798822,98528101.5846898,108442458.089226,141917752.444089,145558261.560851,174850378.050294,190381109.383826,210999422.810486,221475784.751144,237171185.618506,268259812.862609,282514058.563943,319597805.387573,301656187.855526,327267112.803004,326935083.28512,350185257.323802,377501077.911977,420230018.648806,469707053.126837,568187867.007794,628093076.1987,620001216.621888,717754608.225822,787440938.408097,824035124.699566,977699522.584272
Adjusted savings: consumption of fixed capital (% of GNI),6.73043903114166,7.06564101628003,7.21096944490427,7.4557997759939,7.94238068153757,8.42928330450831,8.6290850496449,9.12438017009293,9.59867409930842,10.0721488099238,10.5080500223635,10.8975339529544,11.2303357703192,11.6476134602065,12.1013089550421,12.1959787806754,11.9544505078986,11.7646647949298,12.0797099950705,11.6980873237487,11.3018788754911,12.3716925662155,12.831128433131,12.2525116375547,11.9269285252009,11.7921058203014,11.7066714885511
Adjusted savings: consumption of fixed capital (current US$),975664931.187078,1091283705.54167,1265620770.89713,1432392744.14485,1438675866.7853,1608242109.75183,1580915098.2211,1836357604.25439,2040533234.68544,2333433471.18567,2763464123.68819,3167255793.53555,3675146284.17929,4410934963.10479,4404470764.20155,4834819629.15547,5447979205.77391,5713975370.58259,6252522939.81481,6590151798.96434,6860216008.32677,7995629148.608,9001424870.23368,8800467263.15646,9036600266.39607,8987730722.88832,9842549569.05508
Adjusted savings: education expenditure (% of GNI),1.5,1.5,1.5685025,1.5685025,1.72243968750001,1.876376875,2.03031406249998,2.18425125000001,2.3381884375,2.49212562499999,2.64606281250002,2.8,2.92,2.89,2.885,2.88,2.95,2.94,2.84,2.96551257686032,2.98690513333072,2.93252405771832,2.88038645526978,2.95886883473815,3.08517060761441,3.20036931217538,3.06734319179677
Adjusted savings: education expenditure (current US$),217444566.395896,231674034.180458,275292990.543302,301337437.65585,312001213.459811,357998206.386725,371969233.942008,439598780.165561,497063570.063257,577355384.388773,695875984.203259,813791107.252782,955574915.058709,1094438966.99736,1050043280.60123,1141710787.0039,1344397941.70499,1427927432.04657,1469999292.72477,1670630206.66396,1813044949.14244,1895243897.25919,2020678259.86392,2125231877.86858,2337521640.69215,2439263862.61792,2578912156.20846
Adjusted savings: energy depletion (% of GNI),0.0401750103535295,0.133482375790405,0.307993756309018,0.21835781516683,0.202855710451354,0.284157237880457,0.22473324834904,0.288543155207988,0.301562337706342,0.254333055535903,0.28666267837943,0.246315036384148,0.594455487837866,0.642196490383322,0.314046417882085,0.346801174358661,0.424567299808371,0.36706226729347,0.289066114890466,0.255602693292778,0.0857001181484112,0.0533455755984415,0.0809649063068672,0.123829191758898,0.099798013296469,0.0318867027193703,0.0686631862785583
Adjusted savings: energy depletion (current US$),5823891.80418258,20616266.9942366,54056988.9069189,41950449.2434676,36745105.374306,54215004.910999,41172868.6579454,58071716.3625535,64107601.3262666,58921812.5959054,75388109.6507897,71588923.6400232,194536559.005771,243198914.721263,114302367.727546,137481472.816286,193487255.585633,178278326.781481,149622177.619607,143994526.832078,52019786.1713218,34476401.4237581,56799331.800386,88941335.5019508,75613327.5750872,24303470.6480582,57729544.6598048
Adjusted savings: gross savings (% of GNI),11.2721998628399,9.92633491495316,10.2509225830286,12.1190630174369,11.9227024732453,12.6163395512166,10.0211971814371,13.9371193854946,14.5517290757697,15.9453480900158,14.0565680185444,14.6941069847916,14.8272968714475,11.7989681146423,13.0556735990422,11.9509077332308,11.4470822723418,11.8024676556274,11.8766770651677,12.0879604887426,13.9075957306955,15.150810411706,15.1006258047699,14.9731023903893,16.9468298966538,18.5945907987995,19.6133494990497
Adjusted savings: mineral depletion (% of GNI),7.24086654310292e-06,4.75300804395699e-05,0.00119679720388357,0.000459069864896412,0.0267060636127122,0.0337337378425027,0.0136272617800411,0.0344588786095835,0.0473823408380908,2.43741522872864e-07,0.0161763659946139,0.18648759328475,0.313373119359487,0.249003870529391,0.329679430885677,0.482500189210772,0.864885480282819,0.467163972487815,0.314151210812971,0.757181459924347,0.392104019809417,0.367376016677787,0.139294023993221,0.107899549253779,0.162819177213222,0.199347376893687,0.537280364458036
Adjusted savings: mineral depletion (current US$),1049.65805719705,7340.99032023787,210053.781445021,88195.5475320581,4837512.92679213,6436136.47302917,2496619.71941799,6935136.69851212,10072770.4906955,56.4680525002701,4254148.67483764,54200694.6528941,102551880.792337,94297418.2839206,119992260.365318,191276274.567138,394152630.339916,226896684.210612,162606358.346373,426560395.914691,238006291.100775,237429306.598665,97718972.9166754,77499738.747992,123362173.007958,151938981.140248,451726062.769419
Adjusted savings: natural resources depletion (% of GNI),0.505629933116347,0.452570984351192,0.711735432615222,0.564552770737914,0.595774257024271,0.675506521147941,0.555805164615161,0.594206072812275,0.649525345079784,0.622191341734146,0.727498541910562,0.7847534428957,1.02340668471956,0.891200360912713,0.643725848767762,0.829301363569433,1.28945278009119,0.834226239781285,0.603217325703437,1.01278415321713,0.477804137957828,0.420721592276229,0.220258930300088,0.231728741012677,0.262617190509691,0.231234079613057,0.605943550736594
Adjusted savings: net forest depletion (% of GNI),0.465447681896274,0.319041078480347,0.40254487910232,0.345735885706188,0.366212482960205,0.357615545424981,0.31744465448608,0.271204038994703,0.300580666535351,0.36785804245672,0.424659497536518,0.351950813226802,0.115578077522212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adjusted savings: net forest depletion (current US$),67472712.9132737,49275689.1472174,70651964.9130107,66422059.196194,66335407.7921604,68230282.2763971,58158315.075047,54582074.6207854,63898912.8522945,85222357.7224773,111679263.395976,102290872.140842,37823120.4147045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adjusted savings: net national savings (% of GNI),4.54176083169825,2.86069389867314,3.03995313812438,4.66326324144306,3.98032179170771,4.18705624670825,1.39211213179218,4.81273921540166,4.95305497646131,5.87319928009203,3.54851799618089,3.79657303183724,3.59696110112831,0.151354654435808,0.954364644000073,-0.245071047444613,-0.50736823555679,0.0378028606975906,-0.203032929902875,0.389873164993845,2.6057168552044,2.77911784549046,2.2694973716389,2.72059075283456,5.01990137145295,6.80248497849812,7.90667801049864
Adjusted savings: net national savings (current US$),658387476.481662,441832330.707352,533552092.206265,895896433.885929,720991996.402386,798857972.688398,255045705.877888,968603904.127567,1052944728.42052,1360655014.31109,933208554.759256,1103434775.48031,1177111574.89047,57317796.4190197,347356735.416174,-97152867.5173121,-231221970.023403,18360456.3945322,-105090937.801784,219636190.81865,1581664489.61021,1796099889.63842,1592121081.98152,1954086685.65404,3803396823.80963,5184731562.36238,6647651326.08352
Adjusted savings: particulate emission damage (% of GNI),2.20133587939195,2.15434259713366,2.10361278170001,2.02478393675367,1.94735001999358,1.9041987747245,1.81384981185607,1.68702197150848,1.57619436172394,1.48217575988543,1.35672378835877,1.25620275720221,1.13539021558383,1.05633735633019,1.03855062630985,1.01567947396581,0.960976417932272,0.915933312339019,0.816468157237925,0.764538564632903,0.731024749966977,0.694134867046977,0.675614672517095,0.644250720479603,0.623729167455579,0.63787395477106,0.601232523490529
Adjusted savings: particulate emission damage (current US$),319112350.524074,332736826.989839,369211941.721043,388997278.173336,352741273.716721,363306409.835803,332311309.596696,339527241.1027,335075130.809288,343378418.405525,356798597.922977,365102368.827709,371558359.183223,400033482.720668,377997610.648478,402643129.015698,437943972.30345,444859286.603457,422608314.673257,430705042.427273,443730440.527183,448608381.296343,473964137.104829,462738379.082026,472576921.114158,486176042.514482,505494744.665123
"Adolescent fertility rate (births per 1,000 women ages 15-19)",111.94,111.562,110.39,112.566,107.407,109.177,110.434,106.66,99.616,96.107,93.434,90.832,91.574,90.46,89.986,89.008,90.535,90.895,83.341,81.595,80.387,77.794,78.608,76.279,71.729,66.848,64.054
Adolescents out of school (% of lower secondary school age),-1.0,-1.0,-1.0,-1.0,45.9738311767578,44.378059387207,39.7294006347656,39.1421585083008,-1.0,-1.0,-1.0,-1.0,-1.0,28.6664791107178,23.9318103790283,18.8846206665039,22.7537899017334,26.8835105895996,26.7867298126221,26.7195491790771,26.933910369873,29.4148807525635,31.314790725708,30.7777309417725,-1.0,33.0606803894043,33.6303482055664
"Adolescents out of school, female (% of female lower secondary school age)",-1.0,-1.0,-1.0,-1.0,53.4690284729004,50.3171882629395,45.3590202331543,44.9355506896973,-1.0,-1.0,-1.0,-1.0,-1.0,33.1860618591309,27.9953899383545,23.2209491729736,26.8874092102051,30.8591403961182,31.0875091552734,30.8358097076416,30.941780090332,33.4470710754395,34.9486198425293,34.0153198242188,-1.0,35.8087196350098,35.9575309753418
"Adolescents out of school, male (% of male lower secondary school age)",-1.0,-1.0,-1.0,-1.0,38.6972198486328,38.6222610473633,34.2760200500488,33.5220184326172,-1.0,-1.0,-1.0,-1.0,-1.0,24.2595291137695,19.9655990600586,14.6498203277588,18.7169704437256,23.0009803771973,22.5873508453369,22.7012691497803,23.0223903656006,25.4799194335938,27.7673797607422,27.6156692504883,-1.0,30.3754692077637,31.357250213623
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,4200.0,4500.0,4700.0,4700.0,4800.0,4800.0,4400.0,4100.0,3800.0,3200.0,2800.0,2400.0,2000.0,1700.0,1200.0,1000.0,710.0,620.0,500.0,500.0,500.0,690.0,750.0,790.0,820.0,940.0,1200.0
Adults (ages 15-49) newly infected with HIV,3400.0,3600.0,3800.0,3700.0,3700.0,3600.0,3200.0,3000.0,2600.0,2100.0,1800.0,1500.0,1300.0,1000.0,1000.0,500.0,500.0,200.0,100.0,100.0,100.0,500.0,500.0,500.0,1000.0,1000.0,1000.0
Age dependency ratio (% of working-age population),93.7580981438051,93.1664494593894,92.4986568548224,91.7271161214456,90.9146132642798,90.2151099889446,89.5211939635155,88.6087041985109,87.440425290355,86.0553689768713,84.5513954353493,82.97497419817,81.331979052328,79.6421930697723,77.9126351466495,76.1541904308127,74.4157471860078,72.7537943578867,71.1609009964298,69.6709608592051,68.2948569343031,66.9565538429082,65.6760518487585,64.4992819549663,63.3662003495779,62.1510726065227,60.849663592647
"Age dependency ratio, old (% of working-age population)",7.21596764189398,7.22789678398182,7.24813061491336,7.26558099775663,7.27919605433476,7.30152227745522,7.32395728783806,7.33668468105344,7.3442965292674,7.35003465219001,7.35761656421169,7.36470708466393,7.36719269064994,7.36425437429485,7.35587650844051,7.34201086769208,7.33024614436682,7.33136044331358,7.35403407293802,7.39296074037354,7.43790922592504,7.49111430492741,7.56143690658192,7.65573567087323,7.7701148746739,7.86526818216926,7.88234278803704
"Age dependency ratio, young (% of working-age population)",86.5421305019111,85.9385526754076,85.250526239909,84.461535123689,83.635417209945,82.9135877114894,82.1972366756775,81.2720195174575,80.0961287610876,78.7053343246813,77.1937788711376,75.610267113506,73.9647863616781,72.2779386954775,70.556758638209,68.8121795631206,67.085501041641,65.4224339145731,63.8068669234918,62.2780001188315,60.8569477083781,59.4654395379808,58.1146149421766,56.8435462840931,55.596085474904,54.2858044243534,52.96732080461
Agricultural irrigated land (% of total agricultural land),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.30632451000202,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Agricultural land (% of land area),42.1052631578947,42.1052631578947,42.687849944009,43.2704367301232,43.8530235162374,44.4356103023516,45.0181970884658,45.6007838745801,46.1832773422919,44.0742814483016,42.5718551698395,40.2711011571482,41.5080253826055,41.3773796192609,40.7764091078761,40.287420679358,40.0783874580067,39.7760358342665,39.408361328854,39.9860022396417,41.6573348264278,41.9354236655468,42.2135125046659,42.491601343785,42.7696901829041,43.0384471817842,43.0384471817842
Agricultural land (sq. km),45120.0,45120.0,45744.3,46368.6,46992.9,47617.2,48241.5,48865.8,49490.0,47230.0,45620.0,43154.512,44480.0,44340.0,43696.0,43172.0,42948.0,42624.0,42230.0,42849.0,44640.0,44938.0,45236.0,45534.0,45832.0,46120.0,46120.0
"Agricultural machinery, tractors",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Agricultural machinery, tractors per 100 sq. km of arable land",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Agricultural methane emissions (% of total),55.8518518518519,53.8020086083214,52.551724137931,50.86782376502,50.4424778761062,49.2024539877301,49.5249406175772,49.8269896193772,48.0746791131855,47.8808705612829,48.9010989010989,48.5807860262009,50.1564129301356,50.8646998982706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Agricultural methane emissions (thousand metric tons of CO2 equivalent),3771.5725,3754.4175,3805.265,3806.125,3993.985,4008.3075,4171.875,4323.6225,4122.5975,4183.7625,4452.935,4454.1375,4813.235,4997.51,5299.57,5484.38,5441.965,5537.265,5617.175,5823.0375,5970.4875,6121.5075,6219.77,6304.895,6450.245,6570.87,-1.0
Agricultural nitrous oxide emissions (% of total),79.1946308724832,77.7027027027027,77.6315789473684,76.4119601328904,77.0186335403727,76.8292682926829,76.8545994065282,76.0355029585799,77.1739130434783,77.1276595744681,77.8337531486146,77.4683544303797,77.6412776412776,75.5905511811024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),2354.7662,2303.5698,2362.7824,2303.093,2483.085,2515.865,2585.6268,2571.4122,2841.9068,2901.1194,3093.3294,3058.672,3158.204,2878.6204,3207.1654,3388.7964,3611.7004,3678.2438,3714.5402,3641.8282,3813.1186,3817.4992,3875.7582,3886.6054,3920.7562,4229.2458,-1.0
Agricultural raw materials exports (% of merchandise exports),4.14821214715806,4.95288657424201,3.89602338043109,3.51835734030899,4.03394167252271,3.41423647451416,3.8307188894173,3.50487290151001,4.01475026542743,4.18560107358371,3.28287932659024,5.4292726116502,3.89135781892085,4.11279081556215,3.37026014081058,4.26160380312143,5.23323806151375,4.40468996396145,3.98850540299186,3.02094955117796,2.76055334519119,2.70745501163659,3.23670191304889,3.00707731446495,2.85899441602157,2.64970663673017,3.23476153964756
