Indicator Name,Year,Value
Child employment in agriculture (% of economically active children ages 7-14),1995,-1.0
"Child employment in agriculture, female (% of female economically active children ages 7-14)",1995,-1.0
"Child employment in agriculture, male (% of male economically active children ages 7-14)",1995,-1.0
Child employment in manufacturing (% of economically active children ages 7-14),1995,-1.0
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",1995,-1.0
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",1995,-1.0
Child employment in services (% of economically active children ages 7-14),1995,-1.0
"Child employment in services, female (% of female economically active children ages 7-14)",1995,-1.0
"Child employment in services, male (% of male economically active children ages 7-14)",1995,-1.0
Children (0-14) living with HIV,1995,-1.0
Children (ages 0-14) newly infected with HIV,1995,-1.0
"Children in employment, female (% of female children ages 7-14)",1995,-1.0
"Children in employment, male (% of male children ages 7-14)",1995,-1.0
"Children in employment, self-employed (% of children in employment, ages 7-14)",1995,-1.0
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",1995,-1.0
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",1995,-1.0
"Children in employment, study and work (% of children in employment, ages 7-14)",1995,-1.0
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",1995,-1.0
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",1995,-1.0
"Children in employment, total (% of children ages 7-14)",1995,-1.0
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",1995,-1.0
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",1995,-1.0
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",1995,-1.0
"Children in employment, wage workers (% of children in employment, ages 7-14)",1995,-1.0
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",1995,-1.0
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",1995,-1.0
"Children in employment, work only (% of children in employment, ages 7-14)",1995,-1.0
"Children in employment, work only, female (% of female children in employment, ages 7-14)",1995,-1.0
"Children in employment, work only, male (% of male children in employment, ages 7-14)",1995,-1.0
Children out of school (% of primary school age),1995,-1.0
"Children out of school, female (% of female primary school age)",1995,-1.0
"Children out of school, male (% of male primary school age)",1995,-1.0
"Children out of school, primary",1995,-1.0
"Children out of school, primary, female",1995,-1.0
"Children out of school, primary, male",1995,-1.0
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),1995,-1.0
Claims on central government (annual growth as % of broad money),1995,-7.09860483831804
"Claims on central government, etc. (% GDP)",1995,10.7503000380722
Claims on other sectors of the domestic economy (% of GDP),1995,-1.0
Claims on other sectors of the domestic economy (annual growth as % of broad money),1995,-1.0
Claims on private sector (annual growth as % of broad money),1995,36.0674617215088
CO2 emissions (kg per 2015 US$ of GDP),1995,0.208758376933823
CO2 emissions (kg per 2017 PPP $ of GDP),1995,0.102627077999578
CO2 emissions (kg per PPP $ of GDP),1995,0.152297667803261
CO2 emissions (kt),1995,6369.1
CO2 emissions (metric tons per capita),1995,0.619153543196097
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",1995,18.7713310580205
CO2 emissions from gaseous fuel consumption (% of total),1995,0.346488188976378
CO2 emissions from gaseous fuel consumption (kt),1995,22.002
CO2 emissions from liquid fuel consumption (% of total),1995,103.484472440945
CO2 emissions from liquid fuel consumption (kt),1995,6571.264
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),1995,21.8430034129693
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",1995,1.87713310580205
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),1995,10.9215017064846
CO2 emissions from solid fuel consumption (% of total),1995,0.0
CO2 emissions from solid fuel consumption (kt),1995,0.0
CO2 emissions from transport (% of total fuel combustion),1995,46.2457337883959
CO2 intensity (kg per kg of oil equivalent energy use),1995,1.1935230978672
Coal rents (% of GDP),1995,0.0
Combustible renewables and waste (% of total energy),1995,55.8911003023655
"Commercial bank branches (per 100,000 adults)",1995,-1.0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",1995,-33956000.0
Commercial service exports (current US$),1995,794200000.0
Commercial service imports (current US$),1995,672500000.0
"Communications, computer, etc. (% of service exports, BoP)",1995,64.9927919269582
"Communications, computer, etc. (% of service imports, BoP)",1995,31.2230215827338
"Community health workers (per 1,000 people)",1995,-1.0
Compensation of employees (% of expense),1995,49.7981859720305
Compensation of employees (current LCU),1995,3206800000.0
Completeness of birth registration (%),1995,-1.0
"Completeness of birth registration, female (%)",1995,-1.0
"Completeness of birth registration, male (%)",1995,-1.0
"Completeness of birth registration, rural (%)",1995,-1.0
"Completeness of birth registration, urban (%)",1995,-1.0
Completeness of death registration with cause-of-death information (%),1995,-1.0
"Compulsory education, duration (years)",1995,-1.0
"Computer, communications and other services (% of commercial service exports)",1995,63.3089901787963
"Computer, communications and other services (% of commercial service imports)",1995,28.9219330855019
"Condom use, population ages 15-24, female (% of females ages 15-24)",1995,-1.0
"Condom use, population ages 15-24, male (% of males ages 15-24)",1995,-1.0
Consumer price index (2010 = 100),1995,35.9604099338023
Consumption of iodized salt (% of households),1995,91.5
Container port traffic (TEU: 20 foot equivalent units),1995,-1.0
"Contraceptive prevalence, any method (% of married women ages 15-49)",1995,31.4
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",1995,26.9
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",1995,12.93424
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",1995,11.19212
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",1995,11.77366
Control of Corruption: Estimate,1995,-1.0
Control of Corruption: Number of Sources,1995,-1.0
Control of Corruption: Percentile Rank,1995,-1.0
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",1995,-1.0
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",1995,-1.0
Control of Corruption: Standard Error,1995,-1.0
Cost of business start-up procedures (% of GNI per capita),1995,-1.0
"Cost of business start-up procedures, female (% of GNI per capita)",1995,-1.0
"Cost of business start-up procedures, male (% of GNI per capita)",1995,-1.0
"Cost to export, border compliance (US$)",1995,-1.0
"Cost to export, documentary compliance (US$)",1995,-1.0
"Cost to import, border compliance (US$)",1995,-1.0
"Cost to import, documentary compliance (US$)",1995,-1.0
Coverage of social insurance programs (% of population),1995,-1.0
Coverage of social insurance programs in 2nd quintile (% of population),1995,-1.0
Coverage of social insurance programs in 3rd quintile (% of population),1995,-1.0
Coverage of social insurance programs in 4th quintile (% of population),1995,-1.0
Coverage of social insurance programs in poorest quintile (% of population),1995,-1.0
Coverage of social insurance programs in richest quintile (% of population),1995,-1.0
Coverage of social protection and labor programs (% of population),1995,-1.0
Coverage of social safety net programs (% of population),1995,-1.0
Coverage of social safety net programs in 2nd quintile (% of population),1995,-1.0
Coverage of social safety net programs in 3rd quintile (% of population),1995,-1.0
Coverage of social safety net programs in 4th quintile (% of population),1995,-1.0
Coverage of social safety net programs in poorest quintile (% of population),1995,-1.0
Coverage of social safety net programs in richest quintile (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),1995,-1.0
Coverage of unemployment benefits and ALMP in richest quintile (% of population),1995,-1.0
CPIA building human resources rating (1=low to 6=high),1995,-1.0
CPIA business regulatory environment rating (1=low to 6=high),1995,-1.0
CPIA debt policy rating (1=low to 6=high),1995,-1.0
CPIA economic management cluster average (1=low to 6=high),1995,-1.0
CPIA efficiency of revenue mobilization rating (1=low to 6=high),1995,-1.0
CPIA equity of public resource use rating (1=low to 6=high),1995,-1.0
CPIA financial sector rating (1=low to 6=high),1995,-1.0
CPIA fiscal policy rating (1=low to 6=high),1995,-1.0
CPIA gender equality rating (1=low to 6=high),1995,-1.0
CPIA macroeconomic management rating (1=low to 6=high),1995,-1.0
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),1995,-1.0
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),1995,-1.0
CPIA property rights and rule-based governance rating (1=low to 6=high),1995,-1.0
CPIA public sector management and institutions cluster average (1=low to 6=high),1995,-1.0
CPIA quality of budgetary and financial management rating (1=low to 6=high),1995,-1.0
CPIA quality of public administration rating (1=low to 6=high),1995,-1.0
CPIA social protection rating (1=low to 6=high),1995,-1.0
CPIA structural policies cluster average (1=low to 6=high),1995,-1.0
CPIA trade rating (1=low to 6=high),1995,-1.0
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",1995,-1.0
Crop production index (2014-2016 = 100),1995,42.08
Current account balance (% of GDP),1995,-3.90367937373989
"Current account balance (BoP, current US$)",1995,-572100000.0
"Current education expenditure, primary (% of total expenditure in primary public institutions)",1995,-1.0
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",1995,-1.0
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",1995,-1.0
"Current education expenditure, total (% of total expenditure in public institutions)",1995,-1.0
Current health expenditure (% of GDP),1995,-1.0
Current health expenditure per capita (current US$),1995,-1.0
"Current health expenditure per capita, PPP (current international $)",1995,-1.0
Customs and other import duties (% of tax revenue),1995,24.5678206164445
Customs and other import duties (current LCU),1995,1614010000.0
"Death rate, crude (per 1,000 people)",1995,7.679
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",1995,10.8025637944251
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",1995,310033580.9
"Debt service on external debt, total (TDS, current US$)",1995,366405580.9
DEC alternative conversion factor (LCU per US$),1995,5.8106
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),1995,45.2
Deposit interest rate (%),1995,-1.0
"Depositors with commercial banks (per 1,000 adults)",1995,-1.0
Depth of credit information index (0=low to 8=high),1995,-1.0
Diabetes prevalence (% of population ages 20 to 79),1995,-1.0
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),1995,20.1
Diarrhea treatment (% of children under 5 who received ORS packet),1995,21.5
Disaster risk reduction progress score (1-5 scale; 5=best),1995,-1.0
Discrepancy in expenditure estimate of GDP (constant LCU),1995,-1.0
Discrepancy in expenditure estimate of GDP (current LCU),1995,3000.0
Domestic credit provided by financial sector (% of GDP),1995,-1.0
Domestic credit to private sector (% of GDP),1995,-1.0
Domestic credit to private sector by banks (% of GDP),1995,19.2715327731198
Domestic general government health expenditure (% of current health expenditure),1995,-1.0
Domestic general government health expenditure (% of GDP),1995,-1.0
Domestic general government health expenditure (% of general government expenditure),1995,-1.0
Domestic general government health expenditure per capita (current US$),1995,-1.0
"Domestic general government health expenditure per capita, PPP (current international $)",1995,-1.0
Domestic private health expenditure (% of current health expenditure),1995,-1.0
Domestic private health expenditure per capita (current US$),1995,-1.0
"Domestic private health expenditure per capita, PPP (current international $)",1995,-1.0
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",1995,-1.0
Ease of doing business rank (1=most business-friendly regulations),1995,-1.0
Ease of doing business score (0 = lowest performance to 100 = best performance),1995,-1.0
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",1995,-1.0
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",1995,-1.0
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",1995,-1.0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",1995,-1.0
Electric power consumption (kWh per capita),1995,299.121610967702
Electric power transmission and distribution losses (% of output),1995,13.7755102040816
Electricity production from coal sources (% of total),1995,0.0
Electricity production from hydroelectric sources (% of total),1995,53.8265306122449
Electricity production from natural gas sources (% of total),1995,0.0
Electricity production from nuclear sources (% of total),1995,0.0
Electricity production from oil sources (% of total),1995,33.5600907029478
"Electricity production from oil, gas and coal sources (% of total)",1995,33.5600907029478
"Electricity production from renewable sources, excluding hydroelectric (% of total)",1995,12.6133786848073
"Electricity production from renewable sources, excluding hydroelectric (kWh)",1995,445000000.0
"Employers, female (% of female employment) (modeled ILO estimate)",1995,1.553273
"Employers, male (% of male employment) (modeled ILO estimate)",1995,4.27764
"Employers, total (% of total employment) (modeled ILO estimate)",1995,3.368175
Employment in agriculture (% of total employment) (modeled ILO estimate),1995,34.98078
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1995,14.33237
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",1995,44.92923
Employment in industry (% of total employment) (modeled ILO estimate),1995,24.43667
"Employment in industry, female (% of female employment) (modeled ILO estimate)",1995,23.12382
"Employment in industry, male (% of male employment) (modeled ILO estimate)",1995,25.0692
Employment in services (% of total employment) (modeled ILO estimate),1995,40.58255
"Employment in services, female (% of female employment) (modeled ILO estimate)",1995,62.54381
"Employment in services, male (% of male employment) (modeled ILO estimate)",1995,30.00157
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1995,38.92
"Employment to population ratio, 15+, female (%) (national estimate)",1995,-1.0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1995,83.904
"Employment to population ratio, 15+, male (%) (national estimate)",1995,-1.0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1995,60.985
"Employment to population ratio, 15+, total (%) (national estimate)",1995,-1.0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1995,32.289
"Employment to population ratio, ages 15-24, female (%) (national estimate)",1995,-1.0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1995,74.157
"Employment to population ratio, ages 15-24, male (%) (national estimate)",1995,-1.0
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1995,53.091
"Employment to population ratio, ages 15-24, total (%) (national estimate)",1995,-1.0
"Energy imports, net (% of energy use)",1995,27.7550883084921
Energy intensity level of primary energy (MJ/$2017 PPP GDP),1995,-1.0
Energy related methane emissions (% of total),1995,31.1111111111111
Energy use (kg of oil equivalent per capita),1995,517.205568386472
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",1995,85.7288095851261
Exclusive breastfeeding (% of children under 6 months),1995,46.4
Expenditure on primary education (% of government expenditure on education),1995,57.1739
Expenditure on secondary education (% of government expenditure on education),1995,12.02261
Expenditure on tertiary education (% of government expenditure on education),1995,16.85953
Expense (% of GDP),1995,7.56205034876119
Expense (current LCU),1995,6439592000.0
Export unit value index (2015 = 100),1995,90.6747690608
Export value index (2015 = 100),1995,18.6449981321
Export volume index (2015 = 100),1995,20.5624986068
Exports as a capacity to import (constant LCU),1995,51280296466.2655
Exports of goods and services (% of GDP),1995,19.2590440307493
Exports of goods and services (annual % growth),1995,12.5604494922163
"Exports of goods and services (BoP, current US$)",1995,2823400000.0
Exports of goods and services (constant 2015 US$),1995,6371296797.31653
Exports of goods and services (constant LCU),1995,52039697900.0
Exports of goods and services (current LCU),1995,16400365000.0
Exports of goods and services (current US$),1995,2822490792.68922
"Exports of goods, services and primary income (BoP, current US$)",1995,2870000000.0
External balance on goods and services (% of GDP),1995,-6.17134228075296
External balance on goods and services (constant LCU),1995,-1.0
External balance on goods and services (current LCU),1995,-5255311000.0
External balance on goods and services (current US$),1995,-904435170.206175
External debt stocks (% of GNI),1995,23.0096252713005
"External debt stocks, long-term (DOD, current US$)",1995,2523442453.7
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",1995,142000000.0
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",1995,2381442453.7
"External debt stocks, short-term (DOD, current US$)",1995,812102873.0
"External debt stocks, total (DOD, current US$)",1995,3335545326.7
External health expenditure (% of current health expenditure),1995,-1.0
External health expenditure per capita (current US$),1995,-1.0
"External health expenditure per capita, PPP (current international $)",1995,-1.0
Female genital mutilation prevalence (%),1995,-1.0
Female headed households (% of households with a female head),1995,19.8
Female primary school age children out-of-school (%),1995,-1.0
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,1995,-1.0
Female share of employment in senior and middle management (%),1995,-1.0
"Fertility rate, total (births per woman)",1995,5.105
Fertilizer consumption (% of fertilizer production),1995,-1.0
Fertilizer consumption (kilograms per hectare of arable land),1995,137.269372693727
Final consumption expenditure (% of GDP),1995,91.1162300536964
Final consumption expenditure (annual % growth),1995,4.85843947564304
Final consumption expenditure (constant 2015 US$),1995,27831275812.2064
Final consumption expenditure (constant LCU),1995,206745169700.0
Final consumption expenditure (current LCU),1995,77591568300.0
Final consumption expenditure (current US$),1995,13353452018.7244
Financial intermediary services indirectly Measured (FISIM) (constant LCU),1995,-1.0
Financial intermediary services indirectly Measured (FISIM) (current LCU),1995,-1.0
Firms competing against unregistered firms (% of firms),1995,-1.0
Firms expected to give gifts in meetings with tax officials (% of firms),1995,-1.0
Firms experiencing electrical outages (% of firms),1995,-1.0
